,opportunity_id,title,hits,summary,category_id,category_desc,org_title
29,5142,Reach Out and Read-Morris Heights Health Center,544,"Reach Out and Read makes literacy promotion a standard and important part of pediatric primary care, so that children are able to grow up with access to books and are able cultivate a love of reading early on.",3.0,Education,Reach Out and Read-Morris Heights Health Center
30,5765,Help Feed Your Community in Midtown East,49,"Momentum has a hot lunch and pantry program open to all in need that operates on Tuesdays at Lexington Avenue and East 54th Street.  We have no volunteer groups at the lunch program and need volunteers to help with pantry, serving food and site set up.",2.0,Helping Neighbors in Need,The Momentum Project
31,5311,2011 Lexington Craft Fair,76,"Help support the Lexington School and Center for the Deaf in running our very first craft fair!  We've advertised everywhere and are hoping for a huge turnout.  Help out with set-up, selling raffles, greeting attendees, assisting vendors, and breaking-down.  We'd love to have you help!  ASL welcome!",1.0,Strengthening Communities,Lexington School and Center for the Deaf
32,5461,Volunteer Assistant for Artist,766,The Chelsea Art Museum would like to get a volunteer assistant to work with an artist.,1.0,Strengthening Communities,Chelsea Art Museum
33,5663,"Volunteer Tutors, College Mentors, and Reading Partners!!",190,"East Harlem Tutorial Program is looking for volunteer tutors, reading partners for elementary school kids, and college mentors for our graduating seniors!!",3.0,Education,East Harlem Tutorial Program
34,5002,Hike-A-Thon,105,Show your support for Van Cortlandt Park by participating in a Hike with the Friends of Van Cortlandt Park,1.0,Strengthening Communities,Friends of Van Cortlandt Park
35,5108,Supervise children in Highland Park Children's Garden,491,Garden with children and supervise activities on Saturdays.,1.0,Strengthening Communities,New York City Department of Parks & Recreation
37,5284,Event Hosting and Campaign Promotion UNICEF Tap Project Volunteer,168,The U.S. Fund for UNICEF is inviting committed volunteers to promote the campaign in their communities in inspiring ways and to host UNICEF Tap Project fundraising events.,4.0,Environment,US Fund for UNICEF
38,5595,3rd Annual FlyNY Kite Festival,438,"On August 20th, 2011, join NYC Parks and the Cooper-Hewitt National Design Museum for the third annual FlyNY Kite Festival!",1.0,Strengthening Communities,New York City Department of Parks & Recreation
39,5506,IT Assistant,74,"Assist the IT Department with the phones, creating key cards, and maintaining printer logs.",1.0,Strengthening Communities,Episcopal Social Services NYC
40,4985,Help New Yorkers Affected by the Storm in Brooklyn ,1001,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",2.0,Helping Neighbors in Need,NYC Service
41,5446,Public Relations Plan for Professionals,69,A public relations plan outlines an organization's objectives and creates a road map for conducting external communications. An organization will develop key messages to the public to influence opinions and actions.,1.0,Strengthening Communities,Catchafire
42,5554,Tank Internship Program,414,"The Tank is currently looking for Fall 2011 in the following categories: development, marketing, volunteer coordinator and artistic liaison.",1.0,Strengthening Communities,The Tank
43,5577,Children's Recreation Projects with New York Cares,337,"Thank you for contacting New York Cares about our Children’s Recreation projects. Sports and fitness projects keep children healthy and active, arts and culture projects help them discover their creativity, and recreational outings expose them to the unique activities and culture of New York City.",5.0,Health,New York Cares
44,5752,Early Childhood Education Outreach Volunteer,1049,Volunteer to help NYC's youngest learners!,1.0,Strengthening Communities,NYC Service
45,5462,Volunteer for Summer Streets ,4662,"Summer Streets Needs Volunteers!   Be an invaluable part of Summer Streets, NYC’s best summer event!",1.0,Strengthening Communities,NYC Service
46,5408,Accounting System Advice for Professionals,89,"An accounting or bookkeeping system is the foundation for a nonprofit’s success and effectiveness. This project requires that the organization has a minimally functional system, and the accounting professional will help improve or enhance it by offering advice and custom reports.",1.0,Strengthening Communities,Catchafire
47,5423,Copywriting for Professionals,57,"The art of copywriting involves the strategic articulation of words to powerfully communicate a message to target audiences about an organization or specific topics such as an organization’s mission, programs, services or projects.",1.0,Strengthening Communities,Catchafire
48,5285,Cheerleaders Wanted!,120,"Cheer on the hundreds of athletes with developmental disabilities who will be participating in the SUS Olympics on May 20th at Riverbank State Park.   Services for the UnderServed (SUS) needs assistance with running the event, including being timers, measuring throws, and awarding medals.",2.0,Helping Neighbors in Need,"Services for the UnderServed, Inc."
49,5696,Help inform people of recycling practices in Central Park,84,"Tackle cancer, global warming, and pollution all in one on Sunday, September 18 from 8 am-12 pm at the 21st annual Komen NYC Race for the Cure in Central Park at the Naumberg Bandshell on the 72nd St Transverse.",1.0,Strengthening Communities,Office of Recycling Outreach and Education
51,5384,Heart Gallery NYC Needs Your Help at our Info Table- Finding Homes for Kids!,112,Heart Gallery NYC needs volunteers to help out at our information table in Brooklyn. Our information table is set up at the exhibit at Atlantic Terminal.  Our goal is to raise awareness about children in need of loving families as well as to recruit prospective foster and adoptive parents!,1.0,Strengthening Communities,Heart Gallery NYC
53,5416,Fundraising Plan for Professionals,30,"A fundraising plan defines an organization’s fundraising goals, outlines prospective funding sources and includes the specific strategy and tactics to achieve the organization’s fundraising goals.",1.0,Strengthening Communities,Catchafire
54,5415,Donor Relations Strategy for Professionals,36,"Sustaining donors’ engagement with an organization is far more cost-effective than acquiring new donors. A donor relations strategy involves an effective structure for engaging existing donors in the organization’s work by timely and appropriate donor communication, and gift stewardship.",1.0,Strengthening Communities,Catchafire
56,5206,Deliver a Passover Package and Visit with a Senior,260,"Brighten the day of a senior!   Deliver a Passover package and visit with an older person for about an hour.   Sunday, April 10, 2011  10:00 - 12:00   REGISTER ONLINE:  www.dorotusa.org",2.0,Helping Neighbors in Need,DOROT
57,5259,English Teacher,367,English teacher needed to teach English as a Second Language.,2.0,Helping Neighbors in Need,Greater Chinatown Community Association
58,5230,Brush of Kindness,259,"We need voulnteers to help paint our afterschool program from 9am to 4pm starting April 13, 2011 to May 13, 2011. This project would be useful for someone who needs community services.",1.0,Strengthening Communities,Manhattanville Community Center
59,5761,Money Makes Sense,80,Financial literacy for adults,2.0,Helping Neighbors in Need,FEGS
60,5513,Volunteer Childcare Coordinator,229,Provide childcare to groups of young children while their parents are in workshops and manage volunteer chilcare helpers,1.0,Strengthening Communities,Semiperm 
61,5116,Friendly Visiting - Visit Homebound Seniors,362,"Friendly Visiting is a fantastic program that pairs wonderful and dedicated people like you to visit the home-bound elderly in your area.  Visits take place once a week, based on your schedule and last for one hour.  With our busy schedules, what rewarding opportunity could be better than that?",2.0,Helping Neighbors in Need,Friendly Visiting at the JCCGCI
62,5134,Data Entry Assistant,588,"Duties include entering donations and pledges into database, creating thank you letters, updating donor information, updating reports, reconciling bank statements, and assisting the event coordinator.",1.0,Strengthening Communities,Big Apple Greeter
63,5677,Help Clean Up after Hurricane Irene in Brooklyn,256,Help clean up tree limbs and debris that came down during Hurricane Irene.,6.0,Emergency Preparedness,NYC Service
64,5165,B.A.C. Mentors,725,Are you interested in working with youth to help them develop real life skills that will help better their lives and become excited about school. Then come be a B.A.C. Mentor.  We are looking for volunteers who can teach academic/career skills or life skills to high school students.,3.0,Education,Queens Satellite High School for Opportunity
65,5234,Pride Is Just Around the Corner! Get Involved Now!,207,"Take part in city wide Pride events, marches and rallies! Volunteers are needed to represent Queens Pride House at events all through the month of June. Sign up for a training today!",1.0,Strengthening Communities,Queens Pride House
66,5179,Tree Care Workshop - Queens 3/20,32,"Help water and care for the 70,000 new street trees that have been planted across New York City! Join the MillionTreesNYC Stewardship Corps and help keep New York City GREEN by coming to a free MillionTreesNYC stewardship workshop",4.0,Environment,MillionTreesNYC
67,5349,NYC Hemophilia Walk 2011,68,A walk in Riverside Park on Sun. June 5th to raise funds for the NYCHC  and the National Hemophilia Foundation. The New York City Hemophilia Walk was the first and is still the largest of the Hemophilia Walks held by NHF across the country. Together these walks represent NHF’s largest events.,1.0,Strengthening Communities,New York City Hemophilia Chapter
68,5484,Help Us With Outreach,439,"SMART Recovery NYC has a solid program for those suffering from addictive behavior problems. We use a range of cognitive-behavioral techniques to manage urges, modulate emotions and problem solve.",3.0,Education,SMART Recovery NYC 
69,5642,Volunteer for Consumer Protection Law Project,180,"The New York Legal Assistance (NYLAG), a non-profit law firm based in New York City, is recruiting volunteers for its Consumer Protection Law Project.",2.0,Helping Neighbors in Need,New York Legal Assistance Group
70,5341,Russian speaking volunteer needed to work with Seniors,163,A bi-weekly nutrition workshop for low-income seniors who reside in Brooklyn. The goal of these workshops is to focus on different aspects of nutrition each time and give seniors useful and practical information about how they can improve their daily diets.,2.0,Helping Neighbors in Need,Metropolitan Council on Jewish Poverty
71,5622,Development and Welcome Desk Volunteer,182,NYAWC is seeking a volunteer to assist our busy development department and staff our administrative office’s welcome desk.,1.0,Strengthening Communities,New York Asian Women's Center
72,5460,Administrative Intern,761,BCA is searching for an intern for its administrative office in New York City. Please see the full description for further details.,1.0,Strengthening Communities,BCA
74,5120,Do you Love Books?,572,Do you Love Working with Books? Help a Brooklyn elementary school sort and organize their books.,1.0,Strengthening Communities,Community Service Society/Retired & Senior Volunteer Program (RSVP)
75,5283,IT website Coord/manager for New York Futsal (p/t),216,"Scheduling, updating, organizing website for New York Futsal's camps, leagues, clinics and after school programs. Someone who is creative and likes making websites functional while looking great, while receiving the title as Website Coordinator/ Manager. Also, person can work mostly from home!",1.0,Strengthening Communities,New York Futsal
76,5315,Liver Life Walk 2011,133,"Date: Sunday,  June 5, 2011: Manhattan – Battery Park",1.0,Strengthening Communities,American Liver Foundation
77,5603,Tomorrow's Business Leaders: Teach the basics of business to NYC high schoolers,172,TBL is now seeking volunteers to apply for the Fall 2011-Spring 2012 academic year.,3.0,Education,Tomorrow's Business Leaders 
78,5369,Special Event Volunteers (Brooklyn),352,"PAL IS 218 Beacon 1st Annual Community Health & Education Fair.  The fair will be held Saturday, June 25, 2011 from 11 AM to 3 PM. The fair will include health and career information, community performers, local entrepreneurs, and children’s entertainment. We have multiple volunteer opportunities!",5.0,Health,Police Athletic League Of New York
79,5756,Manhattan/Jackie Robinson Rec Center: Parent & Child Fitness Instructor,64,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the Jackie Robinson Recreation Center (89 Bradhurst Ave., NY, NY 10031), accessible by A, B, C, D trains.",5.0,Health,New York City Department of Parks & Recreation
80,5426,One-Pager for Professionals,43,"A one-pager communicates concise overview information about an organization, its mission, and/or the programs it runs. This brief document provides key messaging about an organization, its specific initiatives, and its strategic direction to target audiences, stakeholders, or the media",1.0,Strengthening Communities,Catchafire
81,5319,Get the tools to volunteer for Recycling!,59,Recycling in the city has declined and we need YOU to help get NYC recycling again!,4.0,Environment,Office of Recycling Outreach and Education
82,5779,Latino and African American Youth Serving Program,6,The International Youth Leadership Institute supports active community leadership and global understanding through Seminars and Travel Programs in Africa and Latin America,3.0,Education,International Youth Leadership Institute - NY - New York City
83,5531,Teach Adults and Kids how to Ride Bikes!,148,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",5.0,Health,Bike New York
84,5199,Help Raise College Awareness- Become a Middle School Mentor!,804,HEAF seeks mentors for our NYCService-funded Middle School Mentoring Initiative. Mentors will be placed with small groups of students at Renaissance Military Leadership Academy in Harlem in order to positively impact the students’ academic and emotional development in pursuit of college education.,3.0,Education,The Harlem Educational Activities Fund
85,5000,Mentor First-Generation College Students,464,"Work one-on-one with a First-Generation College Student to develop a life plan and provide general career guidance.  Support, guide and advise students throughout their Fellowship.",3.0,Education,New York Needs You
86,5043,Lifebeat Intern - General,682,"Lifebeat, a non-profit dedicated to HIV/AIDS prevention through music seeks TWO (2) dedicated interns with lots of energy to assist us this winter 2011 through summer 2011.",1.0,Strengthening Communities,Lifebeat Inc
88,5132,Assistant to Founder and Executive Director,202,This is a good opportunity for someone who either has non-profit experience or who would like to learn the workings of a non-profit organization up close.,1.0,Strengthening Communities,Big Apple Greeter
90,5076,Garden Assistant Volunteer Program,392,This volunteer opportunity allows you to work in a garden zone of your choice within Hudson River Park.  You’ll be working with a Lead Gardener on a regular basis to help maintain a specific area.,1.0,Strengthening Communities,Hudson River Park
91,5570,Girl Scout Series - Brooklyn,137,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",1.0,Strengthening Communities,Girl Scouts NYC
92,5500,Special Camp Fair 2012,291,Volunteer at the annual Special Camp Fair helping families of children with disabilities find summer programs.,1.0,Strengthening Communities,"Resources for Children with Special Needs, Inc."
93,5697,Help Clean Up after Hurricane Irene in Far Rockaway,153,Help clean up tree limbs that came down during Hurricane Irene.,6.0,Emergency Preparedness,NYC Service
94,4961,Education Nonprofit Seeks Recruitment Volunteers,304,"Blue Engine recruits, selects, trains, and supports recent college graduates who dedicate one year of service to accelerate academic achievement in high-need public high schools. Since we are still in the early stages of growth, we need driven people to help us get the word out about Blue Engine.",3.0,Education,Blue Engine
95,5578,School Year Internship: Fall 2011 Program Intern,298,Girls Write Now is accepting applications for volunteer or for-credit interns for Fall 2011. Interns will gain valuable experience with a fast-growing nationally recognized non-profit organization and also enhance his/her career opportunities in the literary and arts education professions.,3.0,Education,Girls Write Now
96,5330,Do you want to make a Difference?   Volunteer at ClassWish.org!,528,Recruiting outstanding volunteers to collaborate on the boldest nonprofit initiative we know. We are looking for passionate volunteers with exceptional skills to take initiative on different projects. This is an outstanding leadership opportunity in an innovative start-up nonprofit organization,3.0,Education,ClassWish
98,5477,Work With Visually Impaired Teens This Summer!,237,Are you 18 years of age or older?  We have opportunities during the day from 9-3 and in the evening  from  4-10. (There can be some flexibility during the evening shift for those who leave work at 5).   Contact us to schedule your interview today!,2.0,Helping Neighbors in Need,Lighthouse International
99,5643,"New York's College Goal Sunday - February 5, 2012",127,"New York’s College Goal Sunday is a service project of the New York State Financial Aid Administrators Association and the New York State Higher Education Services Corp., the state financial aid agency.",3.0,Education,New York College Goal Sunday
100,5501,American Diabetes Association - FERIA DE SALUD!,518,"The American Diabetes Association's largest Latino event of the year – Feria de Salud, scheduled to take place on Saturday, August 27, 2011.",5.0,Health,American Diabetes Association - FERIA
101,5504,Business Partner- PENCIL Partnership Program,537,"Through our renowned Partnership Program, PENCIL builds and supports customized relationships between business leaders and principals to inspire innovation and transform public schools.",3.0,Education,PENCIL
102,5693,Memorial Sloan-Kettering Cancer Center,350,Help Cancer Patients with their treatement needs by donating blood or platelets.,6.0,Emergency Preparedness,Memorial Sloan-Kettering Cancer Center
103,5069,Fund Raising,282,Work with a team to do fundraising,1.0,Strengthening Communities,Future Grads
104,5217,Volunteer Coordinator,26,"Works with the co-producers and Front of House Manager to recruit, screen and organize volunteers for an array of opportunities with one of NYC's leading small opera companies.",1.0,Strengthening Communities,Chelsea Opera
105,4952,Deliver a Winter Package and Visit with an isolated Manhattan Senior,181,"Warm up the day of a senior!   Deliver a package and visit with an older person for about an hour.    Sunday, Jan. 30, 2010   10:00 am - Noon   DOROT 171 West 85 Street (off Amsterdam Ave.)    Photo ID Required",2.0,Helping Neighbors in Need,DOROT
106,5335,Harm Reduction Adv,29,"HRC seeks enthusiastic and committed volunteers to work with us in our training, overdose, and policy programs. Volunteer duties may include:",1.0,Strengthening Communities,Harm Reduction Coalition
107,5084,JASA Home Delivered Meals Office Volunteer,233,Assist with office work and interact with staff and clients at Brooklyn Home Delivered Meals office.,2.0,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA)
108,5193,Seeking Volunteer Yoga Instructor,247,Mainchance Drop-In Center for Manhattan's homeless and hungry is seeking a volunteer yoga instructor to continue work with interested clients.,5.0,Health,Grand Central Neighborhood Social Services Corporation
109,5669,Graphic Designer ,57,The Mayor's Office of Immigrant Affairs is seeking an experienced graphic designer to donate their time and skill to make the NYC Restaurant Owner Manual come to life.,1.0,Strengthening Communities,Mayor's Office of Immigrant Affairs
110,5348,General Call for Governor's Island Volunteers,345,"Governor’s Island needs volunteers for programs for  its on-Island partners,such as serving as an Island Ambassador, staffing large public events, maintaining flower beds in the Historic District, or working with children at the Island's Harbor Discovery Area. Sign up at: Bit.ly/GIAVolunteer !",1.0,Strengthening Communities,Governors Island Alliance
111,5439,Event Planning for Professionals,135,"Event planning helps an organization coordinate all the moving pieces of a major event, including venue & logistics, invitation, evening program & entertainment, caterers, sponsors, ticketing, and gift bags/auctions/raffles.",1.0,Strengthening Communities,Catchafire
112,5474,Teach Adults and Kids how to Ride Bikes!,163,"Become a volunteer with Bike New York, a non-profit Bicycling organization, and give someone the life changing skill of knowing how to ride a bike!",3.0,Education,Bike New York
113,5746,Manhattan/Asser Levy Rec. Center: Water Aerobics Instructor for Shape Up New York,37,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the Asser Levy Recreation Center (392 Asser Levy Place NY, NY, 10010), accessible by the M23 bus and 6 train.",5.0,Health,New York City Department of Parks & Recreation
114,5708,Fall Forest Restoration Volunteer Kickoff,125,Join us as we start our fall volunteer season with events in three areas of Van Cortlandt Park,1.0,Strengthening Communities,Friends of Van Cortlandt Park
115,5140,"Our Time's 9th Annual Benefit Gala - April 11, 2011",231,"Monday, April 11, 2011: Our Time seeks volunteers to help with preparations for and coordination of its 9th Annual Benefit Gala, which will be honoring David Seidler, writer of The King's Speech.",1.0,Strengthening Communities,Our Time
116,5139,IT Assistant,612,"NY Artists Unlimited is a 28 year old nonprofit organization that takes free professional theatre and art to under-served audiences. A multicultural company, we tour New York City and the Northeast with works that evoke dignity of the individual and sanctity of the human spirit.",1.0,Strengthening Communities,"NY Artists Unlimited, Inc."
117,5353,"""Farm to Feast"" Gala at Battery Park",200,"Volunteers needed for event setup, greeting guests, and run of show for the Battery Gala on June 7th. Dinner will be provided.",1.0,Strengthening Communities,The Battery Conservancy
118,5428,Search Engine Optimization for Professionals,27,"A Search Engine Optimization (SEO) plan helps an organization's website to rank better organically across various search engines, including Google, Yahoo and Bing. Organic ranking is determined by a variety of factors that include both on the page and off the page elements.",1.0,Strengthening Communities,Catchafire
119,5053,Staff Development Trainer,156,The Jewish Museum seeks a volunteer staff development trainer.,1.0,Strengthening Communities,The Jewish Museum
120,5093,Volunteer-Community Health Advocates,928,"Community Health Advocates (CHA);formerly NYC Managed Care Consumer Assistance Program or NYC MCCAP provides information, advice, and navigational assistance to New Yorkers.",5.0,Health,Community Service Society of New York
121,5759,Bronx: Zumba Instructor for Shape Up NYC at St. Mary's Recreation Center,59,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at St. Mary’s Recreation Center (St. Ann’s Avenue at East 145th street, Bronx, NY 10455)",5.0,Health,New York City Department of Parks & Recreation
122,5630,JASA St. Martin's Poetry Instructor,51,Lead a poetry class with our seniors.,1.0,Strengthening Communities,Jewish Association for Services for the Aged (JASA)
123,5518,Poll Workers and Interperters Needed!,237,"he Board of Elections in the City of New York is in need of poll workers to serve at poll sites across the city. The Board is also recruiting bilingual residents fluent in Spanish, Chinese or Korean to serve as  interpreters on Election Day.",1.0,Strengthening Communities,NYC Service
124,5488,Summer Spanish or French Instructor,200,"Lenox Hill Neighborhood House, widely recognized as one of New York's premier human services providers, is a 117-year old settlement house that provides an extensive array of effective and integrated services--social, educational, legal, health, housing, mental health, nutritional and fitness.",2.0,Helping Neighbors in Need,The Lenox Hill Neighborhood House
125,5201,Resume Review Workshop Volunteer,306,Want a meaningful volunteer experience? Come and work one on one with Met Council clients to update their resumes.,2.0,Helping Neighbors in Need,Metropolitan Council on Jewish Poverty
126,5629,JASA Cooper Square Thrift Shop Volunteer,80,Volunteers are needed to help the residents and staff of JASA Cooper Square Senior Housing Building with their flea markets.,2.0,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA)
128,5619,Legal Advisor,110,Provide legal services and advice to the agency and ensure our compliance to all applicable NYS non-profit laws and provisions in our day to day functioning.,1.0,Strengthening Communities,Family and Community Support Services
129,5417,Grant Proposal Budget for Professionals,54,"A well-designed proposal budget accompanies an organization’s grant proposal or major ask and may be required by a funder. It amplifies the proposal by providing a well thought-out, specific, and tangible plan for the use of funds.",1.0,Strengthening Communities,Catchafire
130,5336,Volunteer at UDEC ENVIROMEDIA MOBILE's MARITIME BACCHANAL & PIRATES FEST at IKEA ERIE BASIN PARK,497,"Seeking volunteers at various environmental recreation stations and as mobile museum docents for upcoming Maritime Festival and Pirates Fest at IKEA ERIE BASIN. Volunteers will be outfitted in Pirate Costume, or can bring their own-event is on JULY 30th",4.0,Environment, ENVIROMEDIA MOBILE & UDEC Harlem River Ecology Center
131,5024,Animal Foster Parent,952,"Major Objective: To provide a stable, caring and loving environment for BAW’s animals while they are on medical or behavior treatment; to increase social interaction; and to provide extra attention to nursing animals.",1.0,Strengthening Communities,Bideawee  
132,5593,Leadership Council volunteer opportunity,159,"Comprised of local young professionals who seek to raise awareness, resources, and funds for The Family Center, the Leadership Council celebrates the idea of family with a passionate commitment to serve the needs of families in NYC through the sharing of energy, resources and advocacy.",1.0,Strengthening Communities,The Family Center
133,5523,Feed our East Harlem community,322,"The Momentum Project needs volunteers urgently to help with our dinner program located on East 106th Street in East Harlem, Manhattan, offering a nutritious hot meal and pantry to take home, as well as social services.",2.0,Helping Neighbors in Need,The Momentum Project
134,5331,Become a Skilled Volunteer with Habitat-NYC,953,"Build with Habitat-NYC. Come Pound, Haul, Hammer or Paint at the Habitat-NYC construction site in Brooklyn.",1.0,Strengthening Communities,Habitat-NYC
136,5129,Summer day camp volunteer,970,"Starting July 2011. Activities vary week by week, but volunteers will generally assist students in activities including an education enrichment period, singing, computer time, arts and crafts and more. There will also be an all-day trip once a week, on Wednesdays or Fridays.",1.0,Strengthening Communities,WisdomLand After School and Summer Day Camp
138,5388,Yiddish Speaking Homework Helper Needed,38,Volunteers are paired one on one with tutees to help teach and explain the homework assignments that the tutees have had difficulty with.,2.0,Helping Neighbors in Need,Metropolitan Council on Jewish Poverty
139,5450,Board Member Search Strategy for Professionals,67,A board member search strategy helps an organization build a strong board of directors that is committed to furthering the organization's mission.,1.0,Strengthening Communities,Catchafire
140,5011,John Kieran Volunteer Day,129,Join us as we restore the beautiful John Kieran Nature Trail and the forest.,1.0,Strengthening Communities,Friends of Van Cortlandt Park
141,5205,8th Annual Children's Sports & Fitness Expo,1679,"A one day free event in June for children featuring over 25 sports activities, nutrition clinics, health screening, entertainment, and vendors. Volunteers will be integral to this event running effectively and providing a place where children can be introduce to new sports and health education.",5.0,Health,"Body Sculpt Of New York, Inc."
142,5692,9/11 - Emergency Preparedness Fair,499,What are you doing to honor the 10th anniversary 9/11?  Why not help seniors become better prepared for emergency situations?  Help create and distribute emergency preparedness resources and materials at low income senior housing sites.,6.0,Emergency Preparedness,Metropolitan Council on Jewish Poverty
